"","eukprok","mag","Domain","Clade","Kingdom","Supergroup","Phylum","Class","Order","Family","Genus","Species","community","degree","MAG","classification"
"161","euk","Cluster_131","Eukaryota","Opisthokonta","Metazoa","Metazoa","Arthropoda","Hexanauplia","Calanoida","Temoridae","Eurytemora","Eurytemora affinis",1,38,"NPO-all-SRF-180-2000-00_bin-18","Eukaryota;Opisthokonta;Metazoa;Metazoa;Arthropoda;Hexanauplia;Calanoida;Temoridae;Eurytemora;Eurytemora affinis"
"162","euk","Cluster_131","Eukaryota","Opisthokonta","Metazoa","Metazoa","Arthropoda","Hexanauplia","Calanoida","Temoridae","Eurytemora","Eurytemora affinis",1,38,"NPO-all-SRF-20-180-00_bin-86","Eukaryota;Opisthokonta;Metazoa;Metazoa;Arthropoda;Hexanauplia;Calanoida;Temoridae;Eurytemora;Eurytemora affinis"
"163","euk","Cluster_131","Eukaryota","Opisthokonta","Metazoa","Metazoa","Arthropoda","Hexanauplia","Calanoida","Temoridae","Eurytemora","Eurytemora affinis",1,38,"SPO-all-SRF-20-180-00_bin-146","Eukaryota;Opisthokonta;Metazoa;Metazoa;Arthropoda;Hexanauplia;Calanoida;Temoridae;Eurytemora;Eurytemora affinis"
"164","euk","Cluster_155","Eukaryota","Sar",".","-","-","Dinophyceae","Suessiales","Symbiodiniaceae","Symbiodinium","Symbiodinium sp.",2,14,"NAO-all-MIX-0-8-5-00_bin-276","Eukaryota;Sar;.;-;-;Dinophyceae;Suessiales;Symbiodiniaceae;Symbiodinium;Symbiodinium sp."
"165","euk","Cluster_155","Eukaryota","Sar",".","-","-","Dinophyceae","Suessiales","Symbiodiniaceae","Symbiodinium","Symbiodinium sp.",2,14,"NAO-all-SRF-0-8-5-00_bin-17","Eukaryota;Sar;.;-;-;Dinophyceae;Suessiales;Symbiodiniaceae;Symbiodinium;Symbiodinium sp."
"166","euk","Cluster_155","Eukaryota","Sar",".","-","-","Dinophyceae","Suessiales","Symbiodiniaceae","Symbiodinium","Symbiodinium sp.",2,14,"NPO-all-SRF-0-8-5-00_bin-284","Eukaryota;Sar;.;-;-;Dinophyceae;Suessiales;Symbiodiniaceae;Symbiodinium;Symbiodinium sp."
"167","euk","Cluster_145","Eukaryota","Opisthokonta","Metazoa","Metazoa","Arthropoda","Hexanauplia","Calanoida","Temoridae","Eurytemora","Eurytemora affinis",1,24,"MS-all-SRF-20-180-00_bin-6","Eukaryota;Opisthokonta;Metazoa;Metazoa;Arthropoda;Hexanauplia;Calanoida;Temoridae;Eurytemora;Eurytemora affinis"
"168","euk","Cluster_165","Eukaryota","Sar",".","Stramenopiles","Ochrophyta","Pelagophyceae","Pelagomonadales","-","Aureococcus","Aureococcus anophagefferens",7,36,"SAO-all-DCM-0-8-5-00_bin-245","Eukaryota;Sar;.;Stramenopiles;Ochrophyta;Pelagophyceae;Pelagomonadales;-;Aureococcus;Aureococcus anophagefferens"
"169","euk","Cluster_151","Eukaryota","Sar",".","-","-","-","-","-",".","-",7,24,"IO-all-SRF-0-8-5-00_bin-243","Eukaryota;Sar;.;-;-;-;-;-;.;-"
"170","euk","Cluster_115","Eukaryota","Sar",".","Stramenopiles","Ochrophyta","Dictyochophyceae","Pedinellales","-","Florenciella","Florenciella parvula",4,40,"SPO-all-SRF-0-8-5-00_bin-505","Eukaryota;Sar;.;Stramenopiles;Ochrophyta;Dictyochophyceae;Pedinellales;-;Florenciella;Florenciella parvula"
