"","Predicted.trophic.mode","KEGG_ID_NUM","summed","total","Ratio","ProbSuccess"
"48","Heterotroph","K00351",5,211,0.023696682464455,0.023696682464455
"49","Heterotroph","K00354",18,211,0.0853080568720379,0.0853080568720379
"50","Heterotroph","K00364",97,211,0.459715639810427,0.459715639810427
"51","Heterotroph","K00366",1,211,0.004739336492891,0.004739336492891
"52","Heterotroph","K00381",56,211,0.265402843601896,0.265402843601896
"53","Heterotroph","K00382",188,211,0.890995260663507,0.890995260663507
"54","Heterotroph","K00392",4,211,0.018957345971564,0.018957345971564
"55","Heterotroph","K00411",195,211,0.924170616113744,0.924170616113744
"56","Heterotroph","K00415",64,211,0.303317535545024,0.303317535545024
"57","Heterotroph","K00418",73,211,0.345971563981043,0.345971563981043
"58","Heterotroph","K00423",2,211,0.00947867298578199,0.00947867298578199
"59","Heterotroph","K00432",181,211,0.85781990521327,0.85781990521327
"60","Heterotroph","K00452",139,211,0.658767772511848,0.658767772511848
"61","Heterotroph","K00461",23,211,0.109004739336493,0.109004739336493
"62","Heterotroph","K00463",105,211,0.497630331753554,0.497630331753554
"63","Heterotroph","K00471",47,211,0.222748815165877,0.222748815165877
"64","Heterotroph","K00474",49,211,0.232227488151659,0.232227488151659
"65","Heterotroph","K00479",8,211,0.037914691943128,0.037914691943128
"66","Heterotroph","K00480",14,211,0.0663507109004739,0.0663507109004739
"67","Heterotroph","K00514",2,211,0.00947867298578199,0.00947867298578199
"68","Heterotroph","K00520",1,211,0.004739336492891,0.004739336492891
"69","Heterotroph","K00525",191,211,0.90521327014218,0.90521327014218
"70","Heterotroph","K00529",7,211,0.033175355450237,0.033175355450237
"71","Heterotroph","K00537",6,211,0.028436018957346,0.028436018957346
"72","Heterotroph","K00542",33,211,0.156398104265403,0.156398104265403
"73","Heterotroph","K00544",45,211,0.213270142180095,0.213270142180095
"74","Heterotroph","K00555",176,211,0.834123222748815,0.834123222748815
"75","Heterotroph","K00559",81,211,0.383886255924171,0.383886255924171
"76","Heterotroph","K00564",11,211,0.0521327014218009,0.0521327014218009
"77","Heterotroph","K00565",166,211,0.786729857819905,0.786729857819905
"78","Heterotroph","K00592",3,211,0.014218009478673,0.014218009478673
"79","Heterotroph","K00598",12,211,0.0568720379146919,0.0568720379146919
"80","Heterotroph","K00613",47,211,0.222748815165877,0.222748815165877
"81","Heterotroph","K00614",15,211,0.0710900473933649,0.0710900473933649
"82","Heterotroph","K00616",173,211,0.819905213270142,0.819905213270142
"83","Heterotroph","K00620",55,211,0.260663507109005,0.260663507109005
"84","Heterotroph","K00630",12,211,0.0568720379146919,0.0568720379146919
"85","Heterotroph","K00632",14,211,0.0663507109004739,0.0663507109004739
"86","Heterotroph","K00637",72,211,0.341232227488152,0.341232227488152
"87","Heterotroph","K00639",123,211,0.582938388625592,0.582938388625592
"88","Heterotroph","K00640",24,211,0.113744075829384,0.113744075829384
"89","Heterotroph","K00643",136,211,0.644549763033175,0.644549763033175
"90","Heterotroph","K00648",18,211,0.0853080568720379,0.0853080568720379
"91","Heterotroph","K00649",74,211,0.350710900473934,0.350710900473934
"92","Heterotroph","K00651",2,211,0.00947867298578199,0.00947867298578199
"93","Heterotroph","K00654",156,211,0.739336492890995,0.739336492890995
"94","Heterotroph","K00655",126,211,0.597156398104265,0.597156398104265
"95","Heterotroph","K00665",32,211,0.151658767772512,0.151658767772512
"96","Heterotroph","K00666",47,211,0.222748815165877,0.222748815165877
"97","Heterotroph","K00667",51,211,0.241706161137441,0.241706161137441
"98","Heterotroph","K00668",35,211,0.165876777251185,0.165876777251185
"99","Heterotroph","K00674",7,211,0.033175355450237,0.033175355450237
"100","Heterotroph","K00683",93,211,0.440758293838863,0.440758293838863
"101","Heterotroph","K00693",96,211,0.454976303317536,0.454976303317536
"102","Heterotroph","K00694",16,211,0.0758293838862559,0.0758293838862559
"103","Heterotroph","K00695",0,211,0,0
"104","Heterotroph","K00699",64,211,0.303317535545024,0.303317535545024
"105","Heterotroph","K00718",28,211,0.132701421800948,0.132701421800948
"106","Heterotroph","K00734",58,211,0.274881516587678,0.274881516587678
"107","Heterotroph","K00748",17,211,0.0805687203791469,0.0805687203791469
"108","Heterotroph","K00749",8,211,0.037914691943128,0.037914691943128
"109","Heterotroph","K00772",89,211,0.421800947867299,0.421800947867299
"110","Heterotroph","K00794",89,211,0.421800947867299,0.421800947867299
"111","Heterotroph","K00795",0,211,0,0
"112","Heterotroph","K00804",126,211,0.597156398104265,0.597156398104265
"113","Heterotroph","K00809",191,211,0.90521327014218,0.90521327014218
"114","Heterotroph","K00810",35,211,0.165876777251185,0.165876777251185
"115","Heterotroph","K00813",0,211,0,0
