"","Source_ID","HeterotrophyScore","Predicted.trophic.mode","Genome","Phagocyte.generalist.prediction","Phagocyte.entamoebid.prediction","Phagocyte.rozellid.prediction","Prototrophy.prediction","Photosynthesis.prediction","Trophic.mode","RF.predicted.TM"
"564","MMETSP1387",-274,"Phototroph","MMETSP1387.sigModels.txt",0.00401942239492808,0.00587947612983909,0.0731327544093928,0.919881368624853,0.998194291696811,"Phototroph","Phototroph"
"565","MMETSP1388",-241,"Phototroph","MMETSP1388.sigModels.txt",0.180684721519531,0.0317802227486362,0.865626614984059,0.975842349837387,0.967577152502888,"Phototroph","Phototroph"
"566","MMETSP1389",-210,"Phototroph","MMETSP1389.sigModels.txt",0.744093885213183,0.174939615304587,0.187891697794682,0.623320066645003,0.932266577803149,"Phototroph","Phototroph"
"567","MMETSP1390",-307,"Phototroph","MMETSP1390.sigModels.txt",0.0166737473092945,0.0626586003080272,0.0587530243268132,0.971331939001069,0.998734609936766,"Phototroph","Phototroph"
"568","MMETSP1391",-276,"Phototroph","MMETSP1391.sigModels.txt",0.00374715141078582,0.00771408952263757,0.025911474704239,0.975133373735481,0.999624850318497,"Mixotroph","Mixotroph"
"569","MMETSP1392",-258,"Phototroph","MMETSP1392.sigModels.txt",0.00414869103127573,0.0040406271825888,0.168700465316371,0.986832273253293,0.999921959937754,"Mixotroph","Mixotroph"
"570","MMETSP1393",-282,"Phototroph","MMETSP1393.sigModels.txt",0.00168148557241952,0.00480362986417727,0.0225504892955053,0.715538559561046,0.97308117003807,"Phototroph","Phototroph"
"571","MMETSP1394",-396,"Phototroph","MMETSP1394.sigModels.txt",0.00221608171777511,0.00203007972216822,0.126213619217838,0.893186237093099,0.976085581959755,"Phototroph","Phototroph"
"572","MMETSP1395",70,"Heterotroph","MMETSP1395.sigModels.txt",0.248803001972712,0.413062310237803,0.0644558634144986,0.00136499575750322,0.000381593233968387,"Heterotroph","Heterotroph"
"573","MMETSP1396",40,"Heterotroph","MMETSP1396.sigModels.txt",0.325606005879386,0.674845123235812,0.628080975063174,0.000264979579189563,0.000535301863461651,"Heterotroph","Heterotroph"
"574","MMETSP1397",136,"Heterotroph","MMETSP1397.sigModels.txt",0.976958284141233,0.948602474520062,0.840397728058569,0.00654148274614178,0.00053715405415751,"Heterotroph","Heterotroph"
"575","MMETSP1399",-312,"Phototroph","MMETSP1399.sigModels.txt",0.00923800712671674,0.0062689229478964,0.0102229001110753,0.897398664988978,0.987474066798827,"Phototroph","Phototroph"
"576","MMETSP1400",-288,"Phototroph","MMETSP1400.sigModels.txt",0.00436238073063364,0.00584806858392819,0.0933620096281364,0.964161790783535,0.999439760779913,"Phototroph","Phototroph"
"577","MMETSP1401",-318,"Phototroph","MMETSP1401.sigModels.txt",0.0238048304007922,0.0235458377437109,0.150175888717805,0.953667147953478,0.999061616043852,"Phototroph","Phototroph"
"578","MMETSP1402",-290,"Phototroph","MMETSP1402.sigModels.txt",0.000364083083054319,0.0043485361914163,0.00388991978282337,0.859466523978556,0.951191704913054,"Phototroph","Phototroph"
"579","MMETSP1403",-287,"Phototroph","MMETSP1403.sigModels.txt",0.00374156148024379,0.0043335439667498,0.0421926804585884,0.944506583090206,0.998872478081122,"Phototroph","Phototroph"
"580","MMETSP1404",-288,"Phototroph","MMETSP1404.sigModels.txt",0.00607796823586337,0.00277617266601327,0.0945940716607756,0.899722938987954,0.999083031016147,"Phototroph","Phototroph"
"581","MMETSP1405",-383,"Phototroph","MMETSP1405.sigModels.txt",0.0636779516710328,0.096806822034213,0.208025609580424,0.822106811304773,0.959211301805706,"Phototroph","Phototroph"
"582","MMETSP1406",-382,"Phototroph","MMETSP1406.sigModels.txt",0.0678978297915226,0.0383332996316362,0.2531643652887,0.821045989743961,0.957709780637163,"Phototroph","Phototroph"
"583","MMETSP1407",-380,"Phototroph","MMETSP1407.sigModels.txt",0.0541209643005812,0.0525101600792463,0.207332152993749,0.791829745105946,0.963466027510807,"Phototroph","Phototroph"
"584","MMETSP1408",-393,"Phototroph","MMETSP1408.sigModels.txt",0.00795715688928816,0.0235636815892482,0.171314192331715,0.840926638462596,0.95614591968309,"Phototroph","Phototroph"
"585","MMETSP1409",-392,"Phototroph","MMETSP1409.sigModels.txt",0.0114643455222016,0.0233122768223462,0.332931773497088,0.849939695388471,0.949945926979453,"Phototroph","Phototroph"
"586","MMETSP1410",-398,"Phototroph","MMETSP1410.sigModels.txt",0.00734473733833665,0.02429298937909,0.19323481529512,0.843622201784054,0.959620765910246,"Phototroph","Phototroph"
"587","MMETSP1411",-390,"Phototroph","MMETSP1411.sigModels.txt",0.0104206374154099,0.0186208932307499,0.258572257416659,0.893832160404588,0.962955971824014,"Phototroph","Phototroph"
"588","MMETSP1412",-397,"Phototroph","MMETSP1412.sigModels.txt",0.0102595722710369,0.0203305472681841,0.192540722417037,0.818107412765358,0.957703185319304,"Phototroph","Phototroph"
"589","MMETSP1413",-384,"Phototroph","MMETSP1413.sigModels.txt",0.0154680657275673,0.0249796363264953,0.250848865911617,0.897862631982044,0.947634569479844,"Phototroph","Phototroph"
"590","MMETSP1414",-388,"Phototroph","MMETSP1414.sigModels.txt",0.00826790741850309,0.0244248986936495,0.14915958255764,0.808306647547138,0.950360677006814,"Phototroph","Phototroph"
"591","MMETSP1415",-395,"Phototroph","MMETSP1415.sigModels.txt",0.0134544469486885,0.0308176144317679,0.203536470319744,0.825304945059496,0.941982704862085,"Phototroph","Phototroph"
