old_mag_name	new_mag_name
IO-all-MES-0-8-5-00_bin-178	TOPAZ_IOM1_P031
IO-all-MES-0-8-5-00_bin-180	TOPAZ_IOM1_P032
IO-all-MES-0-8-5-00_bin-181	TOPAZ_IOM1_P033
IO-all-MES-0-8-5-00_bin-184	TOPAZ_IOM1_P034
IO-all-MES-0-8-5-00_bin-185	TOPAZ_IOM1_P035
IO-all-MES-0-8-5-00_bin-186	TOPAZ_IOM1_P036
IO-all-MES-0-8-5-00_bin-19	TOPAZ_IOM1_P037
IO-all-MES-0-8-5-00_bin-190	TOPAZ_IOM1_P038
IO-all-MES-0-8-5-00_bin-193	TOPAZ_IOM1_P039
IO-all-MES-0-8-5-00_bin-200	TOPAZ_IOM1_P040
IO-all-MES-0-8-5-00_bin-202	TOPAZ_IOM1_P041
IO-all-MES-0-8-5-00_bin-204	TOPAZ_IOM1_P042
IO-all-MES-0-8-5-00_bin-205	TOPAZ_IOM1_P043
IO-all-MES-0-8-5-00_bin-210	TOPAZ_IOM1_P044
IO-all-MES-0-8-5-00_bin-211	TOPAZ_IOM1_P045
IO-all-MES-0-8-5-00_bin-215	TOPAZ_IOM1_P046
IO-all-MES-0-8-5-00_bin-217	TOPAZ_IOM1_P047
IO-all-MES-0-8-5-00_bin-218	TOPAZ_IOM1_P048
IO-all-MES-0-8-5-00_bin-219	TOPAZ_IOM1_P049
IO-all-MES-0-8-5-00_bin-220	TOPAZ_IOM1_P050
IO-all-MES-0-8-5-00_bin-222	TOPAZ_IOM1_P051
IO-all-MES-0-8-5-00_bin-224	TOPAZ_IOM1_P052
IO-all-MES-0-8-5-00_bin-227	TOPAZ_IOM1_P053
IO-all-MES-0-8-5-00_bin-231	TOPAZ_IOM1_P054
IO-all-MES-0-8-5-00_bin-232	TOPAZ_IOM1_P055
IO-all-MES-0-8-5-00_bin-233	TOPAZ_IOM1_P056
IO-all-MES-0-8-5-00_bin-234	TOPAZ_IOM1_P057
IO-all-MES-0-8-5-00_bin-239	TOPAZ_IOM1_P058
IO-all-MES-0-8-5-00_bin-240	TOPAZ_IOM1_P059
IO-all-MES-0-8-5-00_bin-243	TOPAZ_IOM1_P060
IO-all-MES-0-8-5-00_bin-249	TOPAZ_IOM1_P061
IO-all-MES-0-8-5-00_bin-25	TOPAZ_IOM1_P062
IO-all-MES-0-8-5-00_bin-251	TOPAZ_IOM1_P063
IO-all-MES-0-8-5-00_bin-253	TOPAZ_IOM1_P064
IO-all-MES-0-8-5-00_bin-257	TOPAZ_IOM1_P065
IO-all-MES-0-8-5-00_bin-26	TOPAZ_IOM1_P066
IO-all-MES-0-8-5-00_bin-264	TOPAZ_IOM1_P067
IO-all-MES-0-8-5-00_bin-265	TOPAZ_IOM1_P068
IO-all-MES-0-8-5-00_bin-267	TOPAZ_IOM1_P069
IO-all-MES-0-8-5-00_bin-274	TOPAZ_IOM1_P070
IO-all-MES-0-8-5-00_bin-28	TOPAZ_IOM1_P071
IO-all-MES-0-8-5-00_bin-280	TOPAZ_IOM1_P072
IO-all-MES-0-8-5-00_bin-281	TOPAZ_IOM1_P073
IO-all-MES-0-8-5-00_bin-285	TOPAZ_IOM1_P074
IO-all-MES-0-8-5-00_bin-294	TOPAZ_IOM1_P075
IO-all-MES-0-8-5-00_bin-297	TOPAZ_IOM1_P076
IO-all-MES-0-8-5-00_bin-3	TOPAZ_IOM1_P077
IO-all-MES-0-8-5-00_bin-301	TOPAZ_IOM1_P078
IO-all-MES-0-8-5-00_bin-302	TOPAZ_IOM1_P079
IO-all-MES-0-8-5-00_bin-304	TOPAZ_IOM1_P080
IO-all-MES-0-8-5-00_bin-306	TOPAZ_IOM1_P081
IO-all-MES-0-8-5-00_bin-31	TOPAZ_IOM1_P082
