"community","Cluster","MAG"
4,"Cluster_10","NAO-all-MIX-20-180-00_bin-35"
4,"Cluster_10","SPO-all-SRF-20-180-00_bin-202"
4,"Cluster_10","MS-all-SRF-5-20-00_bin-96"
4,"Cluster_10","SPO-SPSG-DCM-20-180-00_bin-1"
4,"Cluster_10","MS-all-SRF-20-180-00_bin-44"
4,"SPO-CHIL-DCM-20-180-00_bin-3","SPO-CHIL-DCM-20-180-00_bin-3"
4,"Cluster_25","NAO-all-DCM-5-20-00_bin-6"
4,"Cluster_25","SAO-all-SRF-20-180-00_bin-78"
4,"Cluster_25","NAO-all-SRF-20-180-00_bin-6"
4,"Cluster_25","NAO-all-DCM-20-180-00_bin-2"
4,"Cluster_25","NAO-all-DCM-5-20-00_bin-6"
4,"Cluster_25","SAO-all-SRF-20-180-00_bin-78"
4,"Cluster_25","NAO-all-SRF-20-180-00_bin-6"
4,"Cluster_25","NAO-all-DCM-20-180-00_bin-2"
4,"Cluster_25","NAO-all-DCM-5-20-00_bin-6"
4,"Cluster_25","SAO-all-SRF-20-180-00_bin-78"
4,"Cluster_25","NAO-all-SRF-20-180-00_bin-6"
4,"Cluster_25","NAO-all-DCM-20-180-00_bin-2"
4,"Cluster_25","NAO-all-DCM-5-20-00_bin-6"
4,"Cluster_25","SAO-all-SRF-20-180-00_bin-78"
4,"Cluster_25","NAO-all-SRF-20-180-00_bin-6"
4,"Cluster_25","NAO-all-DCM-20-180-00_bin-2"
4,"Cluster_39","NAO-all-DCM-20-180-00_bin-23"
4,"Cluster_39","NPO-all-SRF-20-180-00_bin-72"
4,"Cluster_39","NPO-all-DCM-20-180-00_bin-73"
4,"Cluster_39","NAO-all-SRF-20-180-00_bin-44"
4,"Cluster_39","IO-all-SRF-20-180-00_bin-73"
4,"Cluster_39","SAO-all-DCM-20-180-00_bin-11"
4,"Cluster_39","SAO-all-SRF-20-180-00_bin-36"
4,"Cluster_39","IO-all-DCM-20-180-00_bin-103"
4,"Cluster_39","NAO-all-DCM-20-180-00_bin-23"
4,"Cluster_39","NPO-all-SRF-20-180-00_bin-72"
4,"Cluster_39","NPO-all-DCM-20-180-00_bin-73"
4,"Cluster_39","NAO-all-SRF-20-180-00_bin-44"
4,"Cluster_39","IO-all-SRF-20-180-00_bin-73"
4,"Cluster_39","SAO-all-DCM-20-180-00_bin-11"
