"","Source_ID","Predicted.trophic.mode","Score"
"174","IO-all-SRF-0-8-5-00_bin-243","Phototroph",295
"175","IO-all-SRF-0-8-5-00_bin-250","Heterotroph",416
"176","IO-all-SRF-0-8-5-00_bin-250","Mixotroph",581
"177","IO-all-SRF-0-8-5-00_bin-250","Phototroph",766
"178","IO-all-SRF-0-8-5-00_bin-251","Heterotroph",264
"179","IO-all-SRF-0-8-5-00_bin-251","Mixotroph",220
"180","IO-all-SRF-0-8-5-00_bin-251","Phototroph",273
"181","IO-all-SRF-0-8-5-00_bin-252","Heterotroph",216
"182","IO-all-SRF-0-8-5-00_bin-252","Mixotroph",166
"183","IO-all-SRF-0-8-5-00_bin-252","Phototroph",268
"184","IO-all-SRF-0-8-5-00_bin-256","Heterotroph",420
"185","IO-all-SRF-0-8-5-00_bin-256","Mixotroph",369
"186","IO-all-SRF-0-8-5-00_bin-256","Phototroph",368
"187","IO-all-SRF-0-8-5-00_bin-260","Heterotroph",480
"188","IO-all-SRF-0-8-5-00_bin-260","Mixotroph",434
"189","IO-all-SRF-0-8-5-00_bin-260","Phototroph",400
"190","IO-all-SRF-0-8-5-00_bin-290","Heterotroph",369
"191","IO-all-SRF-0-8-5-00_bin-290","Mixotroph",496
"192","IO-all-SRF-0-8-5-00_bin-290","Phototroph",559
"193","IO-all-SRF-0-8-5-00_bin-291","Heterotroph",152
"194","IO-all-SRF-0-8-5-00_bin-291","Mixotroph",70
"195","IO-all-SRF-0-8-5-00_bin-291","Phototroph",175
"196","IO-all-SRF-0-8-5-00_bin-298","Heterotroph",413
"197","IO-all-SRF-0-8-5-00_bin-298","Mixotroph",355
"198","IO-all-SRF-0-8-5-00_bin-298","Phototroph",350
"199","IO-all-SRF-0-8-5-00_bin-302","Heterotroph",220
"200","IO-all-SRF-0-8-5-00_bin-302","Mixotroph",163
"201","IO-all-SRF-0-8-5-00_bin-302","Phototroph",240
"202","IO-all-SRF-0-8-5-00_bin-307","Heterotroph",200
"203","IO-all-SRF-0-8-5-00_bin-307","Mixotroph",127
"204","IO-all-SRF-0-8-5-00_bin-307","Phototroph",213
"205","IO-all-SRF-0-8-5-00_bin-312","Heterotroph",217
"206","IO-all-SRF-0-8-5-00_bin-312","Mixotroph",147
"207","IO-all-SRF-0-8-5-00_bin-312","Phototroph",214
"208","IO-all-SRF-0-8-5-00_bin-325","Heterotroph",346
"209","IO-all-SRF-0-8-5-00_bin-325","Mixotroph",382
"210","IO-all-SRF-0-8-5-00_bin-325","Phototroph",439
"211","IO-all-SRF-0-8-5-00_bin-336","Heterotroph",275
