mag,taxonomy
SPO-all-SRF-180-2000-00_bin-146,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-
SPO-SPSG-SRF-180-2000-00_bin-129,Eukaryota;Metazoa;-;-;-;-;-;-
IO-all-SRF-0-8-5-00_bin-504,Eukaryota;Hacrobia;Cryptophyta;Cryptophyceae;Cryptomonadales;-;-;-
SPO-SPSG-SRF-180-2000-00_bin-78,Eukaryota;Metazoa;Arthropoda;Hexanauplia;Calanoida;-;-;-
NAO-all-MIX-0-8-5-00_bin-238,Eukaryota;-;-;-;-;-;-;-
IO-all-DCM-20-180-00_bin-105,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
RS-all-SRF-20-180-00_bin-16,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-
MS-all-SRF-20-180-00_bin-4,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
NPO-all-SRF-0-8-5-00_bin-341,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
SPO-PEOD-SRF-5-20-00_bin-8,Eukaryota;Archaeplastida;Chlorophyta;Chloropicophyceae;Chloropicales;-;-;-
NAO-all-SRF-180-2000-00_bin-81,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
SAO-all-DCM-0-8-5-00_bin-343,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;-;-
SPO-all-SRF-20-180-00_bin-23,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
SPO-all-SRF-20-180-00_bin-129,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-
SPO-all-SRF-5-20-00_bin-111,Eukaryota;Archaeplastida;Chlorophyta;-;-;-;-;-
SPO-all-DCM-180-2000-00_bin-43,Eukaryota;Metazoa;Arthropoda;-;-;-;-;-
SPO-all-SRF-20-180-00_bin-21,Eukaryota;Alveolata;Ciliophora;Spirotrichea;-;-;-;-
NPO-all-DCM-0-8-5-00_bin-310,Eukaryota;Stramenopiles;Ochrophyta;Bolidophyceae;Parmales;-;-;-
SAO-all-SRF-0-8-5-00_bin-559,Eukaryota;-;-;-;-;-;-;-
MS-all-SRF-180-2000-00_bin-92,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
MS-all-SRF-0-8-5-00_bin-426,Eukaryota;Stramenopiles;Ochrophyta;Chrysophyceae;-;-;-;-
IO-all-SRF-20-180-00_bin-67,Eukaryota;Metazoa;Arthropoda;Hexanauplia;-;-;-;-
SO-all-DCM-0-8-5-00_bin-49,Eukaryota;-;-;-;-;-;-;-
SAO-all-SRF-0-8-5-00_bin-506,Eukaryota;Archaeplastida;Chlorophyta;Mamiellophyceae;Mamiellales;Bathycoccaceae;-;-
SPO-all-SRF-0-8-5-00_bin-825,Eukaryota;Stramenopiles;Ochrophyta;Bacillariophyta;Bacillariophyta_X;-;-;-
IO-all-SRF-180-2000-00_bin-72,Eukaryota;Metazoa;-;-;-;-;-;-
NAO-all-SRF-0-8-5-00_bin-307,Eukaryota;-;-;-;-;-;-;-
SAO-all-SRF-0-8-5-00_bin-327,Eukaryota;Hacrobia;Haptophyta;Prymnesiophyceae;Isochrysidales;-;-;-
